Survey Name,Kore User ID,Channel ID,Session ID,Channel,Language,Score,Date & Time,Comments
Travel assistant NPS,u-55f0e996-8154-5ed0-84f0-0746ded39081,cs-c059641c-a8d2-5072-b0d4-09f639282f17/a6b23d89-2feb-45be-b82e-9de46890890325b0d8f6-2dae-4307-81f4-1336d8714a3e,656ee72be2a14d45993a4ca6,Web/Mobile Client,English,2,Dec-05-2023 02:33 PM,"book cab",
Travel assistant NPS,u-55f0e996-8154-5ed0-84f0-0746ded39081,cs-c059641c-a8d2-5072-b0d4-09f639282f17/a6b23d89-2feb-45be-b82e-9de46890890325b0d8f6-2dae-4307-81f4-1336d8714a3e,656ee682ff6ed44503b3ffc8,Web/Mobile Client,English,8,Dec-05-2023 02:32 PM,"",
